SGB	ann	leave_mean	unleave_mean	p	type	FC	group
T2108174080_metabat2_bins_bin.70	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	2.54e-06	1.84e-08	3.08967394156383	D	7.10897892048988	leave
SMGC_385	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__	1.43e-06	4.06e-07	3.0895351502767	D	1.81646351448058	leave
T2108174023_concoct_bins_bin.77	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila	1.9e-07	2.01e-08	3.07638817882715	D	3.24073201203938	leave
T2108174115_concoct_bins_bin.59	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rosea	3.51e-06	1.21e-06	3.07638817882715	D	1.53646398302997	leave
1111525849853811_bin.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__CU05-9;s__	2.48e-08	1.06e-08	3.07618110322184	D	1.22627585582368	leave
1111525849861985_bin.50	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	2.87e-08	1.07e-08	3.07618110322184	D	1.42343994027454	leave
MET0259_bin.23	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__	1.73e-07	7.79e-08	3.07618110322184	D	1.15107680446242	leave
T2107171985_concoct_bins_bin.172	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	2.43e-07	4.12e-08	3.06313152754242	D	2.56024007130992	leave
T2108173920_metabat2_bins_bin.118	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	1.48e-06	2.52e-07	3.06313152754242	D	2.5541015370164	leave
1111525849743902_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus haematequi	2.36e-07	6.04e-08	3.04969941817287	D	1.96616640492412	leave
