name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium gallinarum	2.30E-08	8.35E-09	1.65E-07	1.02E-07	2.82E-09	4.75E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium glucuronolyticum	3.81E-07	2.02E-07	3.96E-06	1.83E-05	3.50E-21	5.88E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium gottingense	2.23E-08	2.12E-09	8.90E-08	2.68E-07	1.38E-07	0.000231817
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium haemomassiliense	6.89E-09	6.82E-10	1.25E-07	3.64E-07	7.69E-22	1.29E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeddahense	1.27E-07	8.84E-08	9.20E-07	2.31E-06	1.17E-17	1.97E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium_A	5.97E-10	7.56E-11	2.01E-09	8.69E-09	4.09E-07	0.000687925
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium kefirresidentii	3.62E-06	1.26E-05	3.96E-06	6.27E-06	4.83E-07	0.000812732
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium lipophilum	3.21E-07	1.13E-07	1.71E-06	3.48E-06	5.54E-24	9.31E-21
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium lujinxingii	1.88E-07	9.23E-08	8.56E-07	1.88E-06	5.11E-16	8.59E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium massiliense	4.18E-09	2.56E-09	4.94E-08	8.29E-08	9.26E-07	0.001556696
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii	8.82E-07	3.90E-07	8.43E-07	9.86E-07	2.05E-09	3.45E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium minutissimum_B	5.63E-08	6.24E-09	4.74E-07	6.14E-07	1.48E-05	0.02489565
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium mucifaciens	1.20E-06	1.43E-07	2.22E-06	5.69E-06	1.60E-26	2.69E-23
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum	5.82E-08	5.28E-08	4.64E-08	3.83E-08	8.65E-06	0.014544008
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pseudokroppenstedtii	1.49E-09	2.28E-10	7.02E-09	2.43E-08	8.60E-06	0.01445904
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pyruviciproducens	7.75E-08	4.85E-08	4.52E-07	2.49E-06	1.38E-39	2.32E-36
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sanguinis	9.69E-08	8.79E-08	6.93E-07	1.82E-07	1.20E-12	2.01E-09
